Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
163,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16826.50,16889.50,12/21/2023 1:21:55 PM,12/21/2023 2:19:46 PM,Entry,Stop1,($127.22),($1228.48),$1.22,$0.00,$0.00,$0.00,$0.00,$126.00,$0.50,$127.72,0,
164,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16856.25,16889.50,12/21/2023 1:22:26 PM,12/21/2023 2:19:46 PM,Entry,Stop1,($67.72),($1296.20),$1.22,$0.00,$0.00,$0.00,$0.00,$66.50,$15.00,$82.72,0,
165,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16877.00,16892.25,12/21/2023 2:22:35 PM,12/21/2023 2:37:46 PM,Entry,Target1,$29.28,($1266.92),$1.22,$0.00,$0.00,$0.00,$0.00,$19.00,$34.00,$4.72,0,
166,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16869.50,16892.25,12/21/2023 2:24:29 PM,12/21/2023 2:37:46 PM,Entry,Target1,$44.28,($1222.64),$1.22,$0.00,$0.00,$0.00,$0.00,$4.00,$49.00,$4.72,0,
167,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16892.25,16891.00,12/21/2023 2:38:11 PM,12/21/2023 2:53:34 PM,Entry,Target1,$1.28,($1221.36),$1.22,$0.00,$0.00,$0.00,$0.00,$30.50,$4.50,$3.22,0,
168,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16897.50,16891.00,12/21/2023 2:39:06 PM,12/21/2023 2:53:34 PM,Entry,Target1,$11.78,($1209.58),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$15.00,$3.22,0,
169,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16900.75,16891.00,12/21/2023 2:42:40 PM,12/21/2023 2:53:34 PM,Entry,Target1,$18.28,($1191.30),$1.22,$0.00,$0.00,$0.00,$0.00,$13.50,$21.50,$3.22,0,
170,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16885.50,16901.25,12/21/2023 2:54:19 PM,12/21/2023 3:13:17 PM,Entry,Target1,$30.28,($1161.02),$1.22,$0.00,$0.00,$0.00,$0.00,$36.50,$33.00,$2.72,0,
171,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16873.75,16901.25,12/21/2023 2:57:10 PM,12/21/2023 3:13:17 PM,Entry,Target1,$53.78,($1107.24),$1.22,$0.00,$0.00,$0.00,$0.00,$13.00,$56.50,$2.72,0,
172,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16900.50,16922.25,12/21/2023 3:13:21 PM,12/21/2023 3:27:49 PM,Entry,Stop1,($44.72),($1151.96),$1.22,$0.00,$0.00,$0.00,$0.00,$45.50,$13.00,$57.72,0,
173,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16901.75,16922.25,12/21/2023 3:18:08 PM,12/21/2023 3:27:49 PM,Entry,Stop1,($42.22),($1194.18),$1.22,$0.00,$0.00,$0.00,$0.00,$43.00,$4.00,$46.22,0,
174,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16902.50,16922.25,12/21/2023 3:18:26 PM,12/21/2023 3:27:49 PM,Entry,Stop1,($40.72),($1234.90),$1.22,$0.00,$0.00,$0.00,$0.00,$41.50,$2.00,$42.72,0,
175,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16924.00,16946.50,12/21/2023 3:27:52 PM,12/21/2023 4:14:04 PM,Entry,Target1,$43.78,($1191.12),$1.22,$0.00,$0.00,$0.00,$0.00,$3.00,$84.00,$40.22,0,
176,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16926.25,16946.50,12/21/2023 3:28:08 PM,12/21/2023 4:14:04 PM,Entry,Target1,$39.28,($1151.84),$1.22,$0.00,$0.00,$0.00,$0.00,$1.00,$79.50,$40.22,0,
177,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16929.50,16946.50,12/21/2023 3:28:25 PM,12/21/2023 4:14:04 PM,Entry,Target1,$32.78,($1119.06),$1.22,$0.00,$0.00,$0.00,$0.00,$3.00,$73.00,$40.22,0,
178,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,17037.50,17027.50,12/22/2023 9:50:41 AM,12/22/2023 9:56:24 AM,Entry,Stop1,($21.22),($1140.28),$1.22,$0.00,$0.00,$0.00,$0.00,$21.00,$7.50,$28.72,0,
179,MNQ 03-24,SimPaperEdge,,Long,1,17021.25,16965.75,12/22/2023 10:00:33 AM,12/22/2023 4:32:00 PM,,Close,($112.22),($1252.50),$1.22,$0.00,$0.00,$0.00,$0.00,$250.50,$28.50,$140.72,0,
180,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16666.50,16651.50,1/8/2024 10:49:32 AM,1/8/2024 11:10:15 AM,Entry,Stop1,($31.22),($1283.72),$1.22,$0.00,$0.00,$0.00,$0.00,$30.50,$14.00,$45.22,0,
181,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16679.50,16689.50,1/8/2024 12:02:15 PM,1/8/2024 12:03:11 PM,Entry,Target1,$18.78,($1264.94),$1.22,$0.00,$0.00,$0.00,$0.00,$2.50,$22.00,$3.22,0,
182,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16682.50,16692.50,1/8/2024 12:05:13 PM,1/8/2024 12:06:43 PM,Entry,Target1,$18.78,($1246.16),$1.22,$0.00,$0.00,$0.00,$0.00,$2.50,$22.00,$3.22,0,
183,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16691.25,16675.25,1/8/2024 12:07:04 PM,1/8/2024 12:23:43 PM,Entry,Stop1,($33.22),($1279.38),$1.22,$0.00,$0.00,$0.00,$0.00,$33.50,$11.50,$44.72,0,
184,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16684.25,16694.25,1/8/2024 12:29:25 PM,1/8/2024 12:33:37 PM,Entry,Target1,$18.78,($1260.60),$1.22,$0.00,$0.00,$0.00,$0.00,$4.50,$21.00,$2.22,0,
185,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16705.50,16742.75,1/8/2024 12:39:14 PM,1/8/2024 2:17:38 PM,Entry,Stop1,$73.28,($1187.32),$1.22,$0.00,$0.00,$0.00,$0.00,$8.00,$106.50,$33.22,0,
186,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16762.50,16777.75,1/8/2024 2:37:40 PM,1/8/2024 3:00:15 PM,Entry,Stop1,$29.28,($1158.04),$1.22,$0.00,$0.00,$0.00,$0.00,$6.00,$62.00,$32.72,0,
187,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16678.50,16688.50,1/9/2024 9:43:13 AM,1/9/2024 9:43:40 AM,Entry,Stop1,($21.22),($1179.26),$1.22,$0.00,$0.00,$0.00,$0.00,$20.50,$2.50,$23.72,0,
188,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16898.00,16908.00,1/10/2024 12:38:58 PM,1/10/2024 12:50:21 PM,Entry,Target1,$18.78,($1160.48),$1.22,$0.00,$0.00,$0.00,$0.00,$12.00,$20.50,$1.72,0,
189,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16966.25,16978.25,1/11/2024 9:45:36 AM,1/11/2024 9:46:20 AM,Entry,Stop1,($25.22),($1185.70),$1.22,$0.00,$0.00,$0.00,$0.00,$24.00,$8.50,$33.72,0,
190,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16908.50,16898.50,1/11/2024 10:04:15 AM,1/11/2024 10:04:39 AM,Entry,Target1,$18.78,($1166.92),$1.22,$0.00,$0.00,$0.00,$0.00,$6.50,$20.00,$1.22,0,
191,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16833.50,16843.50,1/11/2024 10:10:15 AM,1/11/2024 10:11:02 AM,Entry,Stop1,($21.22),($1188.14),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$18.00,$39.22,0,
192,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16917.50,16907.50,1/11/2024 10:31:16 AM,1/11/2024 10:32:28 AM,Entry,Stop1,($21.22),($1209.36),$1.22,$0.00,$0.00,$0.00,$0.00,$20.00,$18.50,$39.72,0,
193,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16902.00,16880.50,1/11/2024 10:33:12 AM,1/11/2024 10:33:59 AM,Entry,Stop1,($44.22),($1253.58),$1.22,$0.00,$0.00,$0.00,$0.00,$43.00,$4.00,$48.22,0,
194,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16876.00,16893.75,1/11/2024 10:34:24 AM,1/11/2024 10:36:22 AM,Entry,Stop1,($36.72),($1290.30),$1.22,$0.00,$0.00,$0.00,$0.00,$36.50,$19.50,$56.22,0,
195,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16860.25,16849.50,1/11/2024 10:52:20 AM,1/11/2024 10:55:06 AM,Entry,Close,($22.72),($1313.02),$1.22,$0.00,$0.00,$0.00,$0.00,$37.00,$10.00,$32.72,0,
196,MNQ 03-24,SimPaperEdge,NQ - No Trail,Long,1,16847.75,16849.50,1/11/2024 10:54:40 AM,1/11/2024 10:55:06 AM,Entry,Close,$2.28,($1310.74),$1.22,$0.00,$0.00,$0.00,$0.00,$12.00,$4.50,$2.22,0,
197,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16849.25,16822.50,1/11/2024 10:55:06 AM,1/11/2024 11:13:05 AM,Entry,Target1,$52.28,($1258.46),$1.22,$0.00,$0.00,$0.00,$0.00,$42.00,$54.50,$2.22,0,
198,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16859.50,16822.50,1/11/2024 10:56:04 AM,1/11/2024 11:13:05 AM,Entry,Target1,$72.78,($1185.68),$1.22,$0.00,$0.00,$0.00,$0.00,$21.50,$75.00,$2.22,0,
199,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16788.25,16788.00,1/11/2024 11:16:18 AM,1/11/2024 11:40:43 AM,Entry,Stop1,($0.72),($1186.40),$1.22,$0.00,$0.00,$0.00,$0.00,$46.50,$31.50,$32.22,0,
200,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16809.00,16788.00,1/11/2024 11:20:07 AM,1/11/2024 11:40:43 AM,Entry,Stop1,$40.78,($1145.62),$1.22,$0.00,$0.00,$0.00,$0.00,$5.00,$73.00,$32.22,0,
201,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16772.75,16788.00,1/11/2024 11:40:24 AM,1/11/2024 11:40:43 AM,Entry,Stop1,($31.72),($1177.34),$1.22,$0.00,$0.00,$0.00,$0.00,$34.00,$0.00,$31.72,0,
202,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16788.25,16772.00,1/11/2024 11:41:40 AM,1/11/2024 11:45:22 AM,Entry,Target1,$31.28,($1146.06),$1.22,$0.00,$0.00,$0.00,$0.00,$11.00,$40.50,$9.22,0,
203,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16768.75,16853.00,1/11/2024 11:46:34 AM,1/11/2024 12:51:35 PM,Entry,Entry,($169.72),($1315.78),$1.22,$0.00,$0.00,$0.00,$0.00,$169.00,$6.00,$175.72,0,
204,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16788.00,16853.00,1/11/2024 11:47:39 AM,1/11/2024 12:51:35 PM,Entry,Entry,($131.22),($1447.00),$1.22,$0.00,$0.00,$0.00,$0.00,$130.50,$41.50,$172.72,0,
205,MNQ 03-24,SimPaperEdge,NQ - No Trail,Short,1,16802.25,16853.00,1/11/2024 11:49:43 AM,1/11/2024 12:51:35 PM,Entry,Entry,($102.72),($1549.72),$1.22,$0.00,$0.00,$0.00,$0.00,$102.00,$70.00,$172.72,0,
